"","...1","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"1",1,"UNRESPECTABLE MIDDLE-ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","ANLOTINIB","UNK","II","Advanced, First Line","Time To Progression(TTP)","NCT04157140","Uses TACE+RFA ( radiofrequency ablation (RFA) and transcatheter arterial chemoembolization(TACE)), defines cancer as middle-advanced HCC","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04157140","DB11885","57380530","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"2",2,"RESECTABLE ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SORAFENIB","UNK","II","Advanced, First Line","Recurrence-free survival","NCT04143191","Active comparator uses sorafenib. Testing Sorafenib plus TACE, cannot have metastasis, needs to have received received curative hepatic resection","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04143191","DB00398","406563","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"3",3,"LOCALLY ADVANCED UNRESECTABLE HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","DURVALUMAB, YTTRIUM-90 MICROSPHERES","UNK, UNK","I, II","Advanced, First Line","TTP","NCT04124991","Transarterial radioembolization (TARE) with yttrium-90 microspheres will be employed in combination with an intravenous (IV) dose of 1500 mg durvalumab every 4 weeks (Q4W) until PD","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04124991","DB11714,NA","NA, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"4",4,"ADVANCED STAGE HEPATOCELLULAR CARCINOMA","HBsAg","Positive","NA","Protein Expression","DURVALUMAB, SORAFENIB, LENVATINIB, REGORAFENIB, CABOZANTINIB","UNK, UNK, UNK, UNK, UNK","II","Advanced, Second Line","Time to decline to ≥ 2 log10 IU/mL of serum HBsAg","NCT03899428","HCC cases related to chronic HBV expression HBV ABsAg antigen. Needs to have been treated with either entecavir or tenofovir or TAF before initiation of anti-PDL1 or TKI, cannot receive radiation prior","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03899428","DB11714,DB00398,DB09078,DB08896,DB08875","NA, 406563, 11237762, 11167602, 25102846","NA","EFO_0009260","HBSAG PROTEIN EXPRESSION POSITIVE","failed biomarker"
"5",5,"RECURRENT OR METASTATIC HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","CYCLOPHOSPHAMIDE, CYTOKINE-BASED BIOLOGIC AGENT IRX-2, NIVOLUMAB","UNK, UNK, UNK","I","Advanced, Second Line","Recommended phase II dose","NCT03655002","NA","ALV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03655002","DB00531,NA,DB09035","2907, NA, NA","ENSG00000104313","EFO_0000702","ABSENT NA NA","pass"
"6",6,"ADANCED HEPATOCELLULAR CARCINOMA","Globo-H, SSEA-3, GALNT14","Positive, Positive, Negative","OR, AND","Protein Expression, Protein Expression, polymorphism","ADAGLOXAD SIMOLENIN","UNK","II","Advanced, First Line","time-to-ITTVP","NCT03608878","Patients should be in BCLC clinical stage B (multinodular asymptomatic tumors without extra-hepatic spread or portal vein invasion) with or without unilateral secondary or tertiary branches of portal vein invasion. Uses TACE. GALNT-14 ""non TT"" found polymorphism at https://ascopubs.org/doi/abs/10.1200/JCO.2017.35.15_suppl.e15657","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03608878","NA","NA","NA, NA, ENSG00000158089","EFO_0000707","GLOBO-H PROTEIN EXPRESSION POSITIVE OR SSEA-3 PROTEIN EXPRESSION POSITIVE AND GALNT14 POLYMORPHISM NEGATIVE","failed drug,failed biomarker"
"7",7,"ADVANCED HEPATOCELLULAR CARCINOMA","Absent","NA","NA","NA","ANLOTINIB HYDROCHLORIDE","VEGFR, FGFR, PDGFR, CKIT","II","Advanced, First Line","Disease free survival","NCT04213118","Procedure: TACE, requires hepatectomy","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04213118","NA","57380530","ENSG00000104313","EFO_0009260","ABSENT NA NA","pass"
"8",8,"HEPATOCELLULAR CARCINOMA (IIIB-IV)","AFP","Positive","NA","Protein Expression","COLCHICINE","UNK","II","Advanced, Second Line","survival","NCT04264260","Primary hepatic malignant tumors unable to receive curative treatment indicate that the malignancy can not be completely eliminated by operative resection, liver transplantation or local abrasion therapy. Patient also needs to fit at least one of the following criteria: (1) evidence of distant metastasis or large vessels (intrahepatic first branch portal vein, portal main trunk, major hepatic vein or inferior vena cava) invasion, (2) unable to be controlled by transcatheter arterial chemoembolization including appearance of new rather than incompletely treated nodules within 3 months of chemoembolization, or chemoembolization fails","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT04264260","DB01394","6167","ENSG00000081051","EFO_0000707","AFP PROTEIN EXPRESSION POSITIVE","pass"
"9",9,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","APATINIB MESYLATE, SHR-1210","UNK, PD1","II","First line","Recurrence-free survival(RFS)","NCT03839550","active comparator: Twice standard HAI treatment, the first treatment was performed 4-8 weeks after radical hepatic resection, and the second treatment was given 4-8 weeks after the first treatment, patients need to have surgical resection","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03839550","NA,NA","45139106, NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"10",10,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","PEMBROLIZUMAB, NIVOLUMAB","UNK, UNK","II","Advanced, Second Line","Adverse events, Response","NCT03939975","therapy in combination with thermal ablation. Patients need to have had advanced stage of disease that is refractory to or is with unacceptable toxicity of sorafenib","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT03939975","DB09037,DB09035","NA, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
