"","Drug","Targets","Disease","Enrichment.biomarker","Marker.type","Biomarker.relationship","Model","PMID","Article.title","Key.sentence","Pubmed.link","Note","Biomarker.logical.conditions","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"1","BEVACIZUMAB",NA,"BREAST CANCER","
VEGF-A
","
protein expression
",NA,"others",31564802,"An update on biomarkers of potential benefit with bevacizumab for breast cancer treatment: Do we make progress?","Current evidences indicate some predictive values for genetic variants, molecular imaging, VEGF pathway factors or associated factors in peripheral blood and gene profiling. ","https://www.ncbi.nlm.nih.gov/pubmed/?term=31564802",NA,NA,"DB00112","NA","ENSG00000112715","MONDO_0007254","VEGF-A PROTEIN EXPRESSION NA","pass"
"2","NA",NA,"BREAST CANCER",NA,NA,NA,"patients",31562584,"Semi-automatic segmentation from intrinsically-registered 18F-FDG-PET/MRI for treatment response assessment in a breast cancer cohort: comparison to manual DCE-MRI.","Using PET/MRI, tumor area and mean ADC value estimated with a GMM-PET can replicate manual DCE tumor definition from MRI for monitoring neoadjuvant treatment response in breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31562584",NA,NA,"NA","56956252","ENSG00000183023","MONDO_0007254","NA NA NA","no biomarker"
"3","NA",NA,"BREAST CANCER","miRNA","gene expression",NA,"cells",31549595,"Determination of Dysregulated miRNA Expression Levels by qRT-PCR after the Application of Usnic Acid to Breast Cancer.","These miRNAs might play important regulatory roles in the tumorigenesis and development of breast cancer and they could serve as prognostic predictors for breast cancer patients.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31549595",NA,NA,"NA","56956252","ENSG00000037897","MONDO_0007254","MIRNA GENE EXPRESSION NA","pass"
"4","CABOZANTINIB, TRASTUZUMAB",NA,"BREAST CANCER BRAIN METASTASES (BCBM)","VEGFR 2","protein expression",NA,"patients",31541381,"A phase II study of cabozantinib alone or in combination with trastuzumab in breast cancer patients with brain metastases.","Cabozantinib had insufficient activity in heavily pretreated BCBM patients. Biomarker analysis showed that cabozantinib had antiangiogenic activity and increased tissue hypoxia.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31541381",NA,NA,"DB08875,DB00072","25102846, 3001322","ENSG00000165197","MONDO_0007254","VEGFR 2 PROTEIN EXPRESSION NA","pass"
"5","NA",NA,"TRIPLE NEGATIVE BREAST CANCER (TNBC)",NA,NA,NA,"patients",31536530,"Clinical outcomes with neoadjuvant versus adjuvant chemotherapy for triple negative breast cancer: A report from the National Cancer Database.","NAC may be inferior to AC in TNBC, likely related to the high frequency of non-pCR following NAC.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31536530",NA,NA,"NA","56956252","ENSG00000183023","EFO_0005537","NA NA NA","no biomarker"
"6","TAXANE, ANTHRACYCLINE",NA,"HER2-NEGATIVE BREAST CANCER","CA12, FOXA1,
MLPH, XBP1,
GATA3, MAGED 2","gene expression, gene expression, gene expression, gene expression, gene expression, gene expression, gene expression","positive, positive, positive, positive, positive, positive","others",31534839,"Network-based approach to identify biomarkers predicting response and prognosis for HER2-negative breast cancer treatment with taxane-anthracycline neoadjuvant chemotherapy.","Genes of CA12, FOXA1, MLPH, XBP1, GATA3 and MAGED2 might serve as novel biomarkers predicting chemotherapeutic response and prognosis for HER2-negative breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31534839",NA,NA,"NA,NA","9548828, NA","ENSG00000074410, ENSG00000129514, ENSG00000115648, ENSG00000100219, ENSG00000107485, NA","MONDO_0007254","failed","failed term"
"7","NA",NA,"BREAST CANCER PRECLINICAL MODELS.","PIK3CA","mutation",NA,"cell line",31534012,"Predictive and Pharmacodynamic Biomarkers of Response to the Phosphatidylinositol 3-Kinase Inhibitor Taselisib in Breast Cancer Preclinical Models.","These data suggest that development of taselisib in breast cancer should occur in a PIK3CA-mutant setting with cotreatments determined by the specific subtypes under investigation.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31534012",NA,NA,"NA","56956252","ENSG00000121879","MONDO_0007254","PIK3CA MUTATION NA","pass"
"8","NA",NA,"BREAST CANCER","
SNP","
polymorphism",NA,"patients",31519601,"The Influence of Adjuvant Radiotherapy and Single Nucleotide Polymorphisms on Circulating Immune Response Cell Numbers and Phenotypes of Patients With Breast Cancer.","The combination of RT and immunotherapy might provide optimal treatment for cancer patients.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31519601",NA,NA,"NA","56956252","ENSG00000145901","MONDO_0007254","SNP POLYMORPHISM NA","pass"
"9","ADRIAMYCIN",NA,"P53-MUTATED BREAST CANCER","p53, miR-30c,
FANCF, REV1","mutation, gene expression,
protein expression, protein expression","miR-30c downregulation
upregulation of FANCF and REV1","cell line",31511498,"Intrinsic adriamycin resistance in p53-mutated breast cancer is related to the miR-30c/FANCF/REV1-mediated DNA damage response.","The novel miRNA-mediated pathway that regulates chemoresistance in breast cancer will facilitate the development of novel therapeutic strategies.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31511498",NA,NA,"NA","443939","ENSG00000141510, NA, ENSG00000183161, ENSG00000135945","MONDO_0007254","failed","failed term"
"10","TAMOXIFEN",NA,"BREAST CANCER","ESR1, PGR","protein expression, protein expression","positive,positive",NA,31504126,"Breast Cancer Index and prediction of benefit from extended endocrine therapy in breast cancer patients treated in the Adjuvant Tamoxifen-To Offer More? (aTTom) trial.","Continuous BCI (H/I) levels predicted the magnitude of benefit from extended tamoxifen, whereas centralized ER and PR did not.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31504126",NA,NA,"DB00675","2733526","ENSG00000091831, ENSG00000082175","MONDO_0007254","failed","failed term"
"11","TRASTUZUMAB",NA,"HER-2+ ADVANCED BREAST CANCER",NA,NA,NA,"patients",31500588,"Long-term responders to trastuzumab monotherapy in first-line HER-2+ advanced breast cancer: characteristics and survival data.","Durable clinical benefit can be achieved with trastuzumab monotherapy in a subgroup of HER2-positive patients with advanced disease and it is predictive for longer OS.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31500588",NA,NA,"DB00072","3001322","ENSG00000183023","MONDO_0007254","NA NA NA","no biomarker"
"12","NA",NA,"BREAST CANCER","pZIP 7","protein expression",NA,"cell line",31483418,"Activated zinc transporter ZIP7 as an indicator of anti-hormone resistance in breast cancer.","This evidence suggests that pZIP7 might have potential as a biomarker of acquired resistance to such anti-hormones in breast cancer","https://www.ncbi.nlm.nih.gov/pubmed/?term=31483418",NA,NA,"NA","56956252","NA","MONDO_0007254","PZIP 7 PROTEIN EXPRESSION NA","failed biomarker"
"13","NA",NA,"ER+ BREAST CANCER","CDC20mRNA","gene expression","positive","patients",31471836,"CDC20 expression in oestrogen receptor positive breast cancer predicts poor prognosis and lack of response to endocrine therapy.","This study shows that the CDC20 could act as potential predictive biomarker of poor response to endocrine therapy in ER+ breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31471836",NA,NA,"NA","56956252","NA","EFO_1000650","CDC20MRNA GENE EXPRESSION POSITIVE","failed biomarker"
"14","NA",NA,"TRIPLE NEGATIVE BREAST CANCER",NA,NA,NA,"patients",31467642,"Incorporating biomarkers to improve statistical power of immunotherapeutic neoadjuvant clinical trials in patients with triple-negative breast cancer.","In this article, a stepwise hypothesis testing procedure is proposed to combine a continuous tumor biomarker with the conventional binary endpoint in a two-arm randomized phase II superiority trial to improve statistical power.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31467642",NA,NA,"NA","56956252","ENSG00000183023","EFO_0005537","NA NA NA","no biomarker"
"15","NA",NA,"TRIPLE NEGATIVE BREAST CANCER.","ESR1, PGR, ERBB2
","protein expression, protein expression, protein expression,","negative,negative,negative","patients",31443516,"Mechanisms of Chemotherapy Resistance in Triple-Negative Breast Cancer-How We Can Rise to the Challenge.","The evidence presented in this review outlines the role of crucial pathways in TNBC survival following chemotherapy treatment and highlights the importance of using combinatorial drug strategies and incorporating biomarkers in clinical studies.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31443516",NA,NA,"NA","56956252","ENSG00000091831, ENSG00000082175, ENSG00000141736","EFO_0005537","failed","failed term"
"16","NA",NA,"BREAST CANCER","SLCO1B3","mutation",NA,"patients",31434449,"Association study of genetic variations in SLCO1B3 gene with prognosis in breast cancer patients treated with neoadjuvant chemotherapy of TA regimen.","The variations of rs11045689 and rs73241801 in SLCO1B3 gene were significantly associated with prognosis of BC patients treated with neoadjuvant chemotherapy of TA regimen, which might serve as biomarkers for predicting prognosis of BC patients treated with neoadjuvant chemotherapy.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31434449",NA,NA,"NA","56956252","ENSG00000111700","MONDO_0007254","SLCO1B3 MUTATION NA","pass"
"17","AROMATASE INHIBITORS, TAMOXIFEN",NA,"ER-POSITIVE BREAST CANCER","ESR1, ERBB2","protein expression, protein expression","positive, negative","patients",31423426,"Neoadjuvant endocrine therapy: A potential strategy for ER-positive breast cancer.","In this review, we discuss the most relevant evidence on the potential of NAE for ER+ breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31423426",NA,NA,"NA,DB00675","NA, 2733526","ENSG00000091831, ENSG00000141736","MONDO_0007254","failed","failed drug,failed term"
