"","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"1","Locally Advanced or Metastatic Hepatocellular Carinoma","AFP","Positive",NA,"Protein Expression","BAVITUXIMAB, SORAFENIB","UNK/UNK","I, II","Advanced, First Line, Second Line","Safety as measured by the number of participants with adverse events, Time to Progression (phase II)as measured by abdominal magnetic resonance imaging","NCT01264705","Advanced HCC is defined as disease that is not amenable to surgical resection or orthotopic liver transplantation or is metastatic in nature, Prior adjuvant therapy with sorafenib or other Raf/MEK/RAS or VEGFR inhibitor","ALV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01264705","DB05136,DB00398","NA, 406563","ENSG00000081051","EFO_0009709","AFP PROTEIN EXPRESSION POSITIVE","pass"
"2","Advanced Hepatocellular Carcinoma","RB","Positive",NA,"Protein Expression","PD-0332991","CDK4/CDK6","II","Advanced, First Line","Time to Disease Progression","NCT01356628","No other active malignancy requiring treatment in the last 3 years other than adequately treated non-melanomatous skin cancer, adequately treated cervical carcinoma in-situ, superficial adequately treated bladder cancer or prostatic intraepithelial neoplasia without evidence of prostate cancer.","ALV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01356628","NA","5330286","ENSG00000139687","EFO_0009260","RB PROTEIN EXPRESSION POSITIVE","pass"
"3","Hepatocellular Carcinoma","absent",NA,NA,NA,"TRC105","CD105","II","Advanced, Second Line","Time to Tumor Progression (TTP) for TRC105 in Hepatocellular Carcinoma","NCT01375569","Not eligible for a liver transplant","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT01375569","NA","NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","failed drug,no biomarker"
"4","Advanced Hepatocellular Carcinoma","absent",NA,NA,NA,"LENALIDOMIDE","UNK","II","Advanced, Second Line","disease stabilization","NCT01545804","Acceptable first-line molecular targeted therapies include (1) sorafenib monotherapy and sorafenib-based combination; (2) anti-angiogenic therapy including brivanib, linifanib, pazopanib, bevacizumab, dovitinib (TKI258), and vargatef (BIBF1120).","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT01545804","DB00480","216326","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"5","Advanced Liver Cancer","absent",NA,NA,NA,"BEVACIZUMAB, ERLOTINIB","VEGF, UNK","II","Advanced, Second Line","Number of Patients with Progression Free Survival (PFS) at 16 weeks","NCT01180959","First line treatment must be with with sorafenib, not amenable to curative resection","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT01180959","DB00112,DB00530","NA, 176871","ENSG00000104313","MONDO_0002691","ABSENT NA NA","no biomarker"
"6","Progressive Hepatocellular Carcinoma","absent",NA,NA,NA,"OPB-31121","UNK","I, II","Advanced, Second Line","Subjects With Treatment Emergent Adverse Events, Number of Participants Who Experienced Dose-Limiting Toxicities (DLTs)","NCT01406574","Patients unresponsive to standard therapy or for whom standard therapy is intolerable, or for whom there is no appropriate therapy","ALV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01406574","NA","NA","ENSG00000104313","EFO_0000707","ABSENT NA NA","failed drug,no biomarker"
"7","metastatic hepatocellular carcinoma","absent",NA,NA,NA,"AXITINIB","UNK","II","Advanced, Second Line","Response rate","NCT01334112","Previous treatment with tyrosine kinase inhibitors or antiangiogenic drugs","ALV",NA,NA,"https://clinicaltrials.gov/ct2/show/NCT01334112","DB06626","6450551","ENSG00000104313","EFO_0000702","ABSENT NA NA","no biomarker"
"8","Advanced or Metastatic Hepatocellular Carcinoma","AFP","Positive",NA,"Protein Expression","EVEROLIMUS, PASIREOTIDE","UNK, UNK","II","Advanced, Second Line","Time to Progression (TTP)","NCT01488487","Prior systemic therapy limited to sorafenib that was discontinued due to intolerance. Patients must undergo at least a 4-week washout prior to enrollment.","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT01488487","DB01590,DB06663","6442177, 9941444","ENSG00000081051","EFO_0009260","AFP PROTEIN EXPRESSION POSITIVE","pass"
"9","Unresectable locally advanced or metastatic HCC","absent",NA,NA,NA,"SORAFENIB, E7050","UNK, UNK","I, II","Advanced, First Line","Safety Parameters-Adverse Event (AEs), Safety Parameter-Concomitant Meds, Safety Parameter- Clinical Laboratory Evaluations, Safety Parameter-ECGS, Safety Parameters-Vital signs, Safety Parameters- ECOG PS","NCT01271504",NA,"ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT01271504","DB00398,NA","406563, 16118392","ENSG00000104313","EFO_0009709","ABSENT NA NA","no biomarker"
"10","Advanced Hepatocellular Carcinoma","absent",NA,NA,NA,"ADI-PEG 20","UNK","III","Advanced, Second Line","Overall survival","NCT01287585","Best Supportive Care","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT01287585","DB06592","NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"11","Hepatocellular Carcinoma","absent",NA,NA,NA,"TYROSERLEUTIDE, MITOMYCIN, FLUOROURACIL","UNK","III","First Line","RFS(Recurrence Free Survival)","NCT01489566","Subject underwent a complete resection of hepatocellular carcinoma (confirmed by pathology)","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT01489566","NA,DB00305,DB00544","10045387, 5746, 3385","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"12","Unresectable Hepatocellular Carcinoma","absent",NA,NA,NA,"AXITINIB","UNK","II","Advanced, First Line","Two-year survival rate ","NCT01352728","Must receive transarterial chemoembolization with addition of axitinib","ALV",NA,NA,"https://ClinicalTrials.gov/show/NCT01352728","DB06626","6450551","ENSG00000104313","EFO_0000707","ABSENT NA NA","no biomarker"
