"record_id","drug","biomarker","biomarker_relations","biomarker_description","disease","curator","source","source_id"
"BiomarkerKG594659457","ABACAVIR","HLA-B",NA,"HLA-B POLYMORPHISM NA","ADIS","Ben","FDA",NA
"BiomarkerKG1498962895","ABEMACICLIB","ESR, ERBB2","AND","ESR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","(HER2)-negative advanced or metastatic breast cancer","Ben","FDA",NA
"BiomarkerKG-1064188334","AFATINIB","EGFR",NA,"EGFR MUTATION NA","lung cancer","Ben","FDA",NA
"BiomarkerKG-1932775397","ALECTINIB","ALK",NA,"ALK PROTEIN EXPRESSION NA","Non-small cell lung cancer that has spread to other parts of the body","Ben","FDA",NA
"BiomarkerKG-955586545","ALPELISIB","ESR, ERBB2, PIK3CA","AND,AND","ESR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE AND PIK3CA MUTATION POSITIVE","Advanced or metastatic breast cancer","Ben","FDA",NA
"BiomarkerKG-1386474016","AMIFAMPRIDINE","NAT2",NA,"NAT2 POLYMORPHISM NA","Lambert-eaton myasthenia syndrome in adults","Ben","FDA",NA
"BiomarkerKG-1029442076","AMIFAMPRIDINE PHOSPHATE","NAT2",NA,"NAT2 POLYMORPHISM NA","Lambert-eaton syndrome","Ben","FDA",NA
"BiomarkerKG1233009142","AMITRIPTYLINE","CYP2D6",NA,"CYP2D6 POLYMORPHISM NA","depression","Ben","FDA",NA
"BiomarkerKG979588562","AMOXAPINE","CYP2D6",NA,"CYP2D6 POLYMORPHISM NA","depression","Ben","FDA",NA
"BiomarkerKG2008815520","AMPHETAMINE","CYP2D7",NA,"CYP2D7 POLYMORPHISM NA","Attention deficit hyperactivity disorder,obesity","Ben","FDA",NA
"BiomarkerKG445115987","ARFORMOTEROL","UGT1A1, CYP2D6","AND/OR","UGT1A1 POLYMORPHISM POSITIVE AND/OR CYP2D6 POLYMORPHISM POSITIVE","Chronic obstructive pulmonary disease","Ben","FDA",NA
"BiomarkerKG-493957746","ARIPIPRAZOLE   LAUROXIL","CYP2D6",NA,"CYP2D6 POLYMORPHISM NA","Schizophrenia and bipolar disorder,Major depression,Tourette's disease or autism","Ben","FDA",NA
"BiomarkerKG1476585244","ARSENIC TRIOXIDE","PML-RARA",NA,"PML-RARA TRANSLOCATION NA","blood and bone marrow cancers","Ben","FDA",NA
"BiomarkerKG-1745727063","ARTICAINE, EPINEPHRINE","G6PD",NA,"G6PD PROTEIN EXPRESSION NA","Anesthesiology,before dental care to numb the area","Ben","FDA",NA
"BiomarkerKG1850603683","ATEZOLIZUMAB","CD274",NA,"CD274 PROTEIN EXPRESSION NA","Breast bladder and urinary tract cancers, non-small cell lung cancer.","Ben","FDA",NA
"BiomarkerKG1616970176","ATEZOLIZUMAB","CD274，EGFR，ALK","AND, AND","CD274 PROTEIN EXPRESSION POSITIVE AND EGFR MUTATION NEGATIVE AND ALK MUTATION NEGATIVE"," non-small cell lung cancer.","Ben","FDA",NA
"BiomarkerKG-292801829","ATOMOXETINE","CYP2D6",NA,"CYP2D6 POLYMORPHISM NA","Hyperactive attention deficit","Ben","FDA",NA
"BiomarkerKG1048595055","AZATHIOPRINE","TPMT, NUDT15","AND/OR","TPMT POLYMORPHISM NEGATIVE AND/OR NUDT15 POLYMORPHISM NEGATIVE","Autoimmune diseases","Ben","FDA",NA
"BiomarkerKG2059480590","BELINOSTAT","UGT1A1",NA,"UGT1A1 POLYMORPHISM NA","T cell lymphoma","Ben","FDA",NA
"BiomarkerKG736314554","BINIMETINIB","BRAF",NA,"BRAF MUTATION NA","melanoma","Ben","FDA",NA
"BiomarkerKG-378943012","BOCEPREVIR","IFNL3
",NA,"IFNL3 PROTEIN EXPRESSION NA","Hepatitis c infection","Ben","FDA",NA
"BiomarkerKG829815143","BREXPIPRAZOLE","CYP2D6",NA,"CYP2D6 POLYMORPHISM NA","schizophrenia,Severe depression,Alzheimer's disease","Ben","FDA",NA
"BiomarkerKG1437695799","BRIGATINIB","ALK",NA,"ALK MUTATION NA","Non-small cell lung cancer that has spread to other parts of the body","Ben","FDA",NA
