"","database","category","Odds_Ratio","qval","Combined Score","genes"
"1","GO_Biological_Process_2017","Cell cycle Homo sapiens hsa04110",9.13978494623656,1.49595403180435e-09,237.640571506922,"PCNA;TTK;CDC6;PKMYT1;CDC20;CCNB1;ORC6;CDC45;CCND1;ORC1;ESPL1;CCNE1;E2F1;MCM4;E2F2;E2F3;MCM2"
"2","GO_Biological_Process_2017","Amino sugar and nucleotide sugar metabolism Homo sapiens hsa00520",8.33333333333333,0.00458719536613325,78.7935097465992,"TSTA3;UGDH;GALE;GNPNAT1;UAP1;NANS"
"3","GO_Biological_Process_2017","Hepatitis B Homo sapiens hsa05161",4.5662100456621,0.00534176826618204,43.4980675467191,"PCNA;CCND1;PIK3CA;CCNE1;STAT1;E2F1;BIRC5;E2F2;E2F3;MMP9"
"4","GO_Biological_Process_2017","Pancreatic cancer Homo sapiens hsa05212",7.07070707070707,0.00568297023433392,68.9524151746296,"RAD51;CCND1;PIK3CA;STAT1;E2F1;E2F2;E2F3"
"5","GO_Biological_Process_2017","Small cell lung cancer Homo sapiens hsa05222",6.2015503875969,0.00658555196879254,62.0769150611894,"CCND1;PIK3CA;CCNE1;CKS2;E2F1;FN1;E2F2;E2F3"
"6","GO_Biological_Process_2017","Bladder cancer Homo sapiens hsa05219",8.13008130081301,0.0172674079254511,64.6125823499988,"CCND1;E2F1;E2F2;E2F3;MMP9"
"7","GO_Biological_Process_2017","Biosynthesis of amino acids Homo sapiens hsa01230",5.40540540540541,0.0357245277893758,38.1955688278239,"ARG2;SDS;PYCRL;PHGDH;ALDH18A1;GAPDH"
"8","GO_Biological_Process_2017","Non-small cell lung cancer Homo sapiens hsa05223",5.95238095238095,0.0488702595963666,38.6996088536726,"CCND1;PIK3CA;E2F1;E2F2;E2F3"
"9","GO_Biological_Process_2017","ECM-receptor interaction Homo sapiens hsa04512",4.8780487804878,0.0534813480896919,31.8495287172773,"COMP;COL1A1;SPP1;FN1;SDC1;HMMR"
"10","GO_Biological_Process_2017","DNA replication Homo sapiens hsa03030",7.40740740740741,0.0586736881702849,46.0248252672296,"RNASEH2A;PCNA;MCM4;MCM2"
"11","GO_Biological_Process_2017","Prostate cancer Homo sapiens hsa05215",4.49438202247191,0.0591693637293519,27.4590054464465,"CCND1;PIK3CA;CCNE1;E2F1;E2F2;E2F3"
"12","GO_Biological_Process_2017","Oocyte meiosis Homo sapiens hsa04114",3.7940379403794,0.0628404012511771,22.6216592286878,"CDC20;CCNB1;SGOL1;ESPL1;CCNE1;PKMYT1;AURKA"
"13","GO_Biological_Process_2017","Glioma Homo sapiens hsa05214",5.12820512820513,0.0655892875981094,29.9464930601622,"CCND1;PIK3CA;E2F1;E2F2;E2F3"
"14","GO_Biological_Process_2017","Steroid biosynthesis Homo sapiens hsa00100",10,0.0659779020645253,57.5955068962548,"SQLE;CYP51A1;DHCR24"
"15","GO_Biological_Process_2017","Estrogen signaling pathway Homo sapiens hsa04915",4.04040404040404,0.0739117794980649,22.5333554498448,"HSPA8;PIK3CA;GNAS;HSPA2;FKBP4;MMP9"
"16","GO_Biological_Process_2017","Influenza A Homo sapiens hsa05164",3.04761904761905,0.0773329680183505,16.1382660563699,"PYCARD;HSPA8;RSAD2;PIK3CA;OAS2;STAT1;HSPA2;NXT2"
